customer,recency,frequency,monetary,R,F,M,RFM Score
Annalise Reichel,26,1,67,4,1,3,413
Annalise Tromp,8,1,69,5,1,3,513
Annamae Connelly,85,1,72,1,1,3,113
Annamarie Corwin PhD,21,1,45,4,1,2,412
Annamarie Torp MD,55,1,27,2,1,1,211
Anne Dickinson DVM,78,1,52,1,1,2,112
Anne Sporer DVM,19,1,20,4,1,1,411
Anneliese Prohaska,51,1,75,2,1,3,213
Annemarie Larson PhD,21,4,215,4,5,5,455
Anner Gibson,42,2,104,3,4,4,344
Anner Parisian,62,1,22,2,1,1,211
Annetta Dibbert,46,1,62,2,1,3,213
Annetta Roob DVM,23,1,23,4,1,1,411
Annice Collins,68,1,34,1,1,1,111
Annie Hilll PhD,22,1,42,4,1,2,412
Annie Schiller,54,4,177,2,5,5,255
Annika Feest,60,2,141,2,4,5,245
Annika Monahan DDS,66,1,68,2,1,3,213
Annis Runte,19,1,57,4,1,2,412
Annis Volkman,16,2,92,4,4,4,444
Annmarie Dicki DVM,10,1,45,5,1,2,512
Annmarie Hudson,47,1,75,2,1,3,213
Ansel Renner V,12,2,107,4,4,4,444
Ansley Cruickshank,21,1,26,4,1,1,411
Ansley Kirlin DVM,12,4,208,4,5,5,455
Ansley Larson PhD,46,1,76,2,1,4,214
Ansley Zieme,18,1,78,4,1,4,414
Anson Tremblay,5,7,347,5,5,5,555
Anthony Herman,28,1,27,3,1,1,311
Anthony Hoppe,34,1,72,3,1,3,313
Antione Sipes,3,1,60,5,1,3,513
Antionette Nitzsche DVM,68,1,33,1,1,1,111
Antoine Franecki,6,3,207,5,5,5,555
Antoinette Zulauf,28,1,62,3,1,3,313
Anton Bogan,13,1,48,4,1,2,412
Anton Dicki,10,1,53,5,1,2,512
Anton Moen,15,1,68,4,1,3,413
Antone Morissette,2,2,78,5,4,4,544
Antonetta Wyman,83,1,68,1,1,3,113
Antonette Heathcote,82,1,72,1,1,3,113
Antonina Hudson MD,29,1,64,3,1,3,313
Antonina Rippin,1,1,42,5,1,2,512
Antonio Bechtelar V,30,2,101,3,4,4,344
Antonio Schiller,6,1,52,5,1,2,512
Antony Terry,1,1,71,5,1,3,513
Antwain Hauck,29,1,71,3,1,3,313
Antwain Kutch,5,2,113,5,4,4,544
Anya Schaefer,88,1,24,1,1,1,111
Ara Block,22,1,78,4,1,4,414
Ara Reilly,78,2,133,1,4,5,145
Araceli Hayes,19,1,54,4,1,2,412
Aracely Bednar,38,2,128,3,4,5,345
Aracely Nitzsche,68,1,51,1,1,2,112
Arah Heathcote MD,10,4,203,5,5,5,555
Arah McKenzie,81,1,25,1,1,1,111
Arba Yundt,26,1,67,4,1,3,413
Arbie Senger,6,4,175,5,5,5,555
Arbie Strosin,1,9,487,5,5,5,555
Arch Fritsch,21,1,38,4,1,1,411
Archer Lebsack,12,3,115,4,5,4,454
Archie Abernathy,3,1,60,5,1,3,513
Archie Kessler,39,2,79,3,4,4,344
Ardath Moen,41,1,67,3,1,3,313
Ardath Smitham,64,1,20,2,1,1,211
Ardelia Little,4,5,286,5,5,5,555
Ardell Boehm,12,2,105,4,4,4,444
Ardell Kilback III,56,1,40,2,1,2,212
Ardell O'Keefe,42,4,257,3,5,5,355
Ardell Vandervort,3,3,137,5,5,5,555
Ardelle Hickle,4,7,470,5,5,5,555
Ardelle Kshlerin,11,1,37,4,1,1,411
Ardeth Carroll,9,1,74,5,1,3,513
Ardeth Gislason,61,1,56,2,1,2,212
Ardyce Hermann,8,1,30,5,1,1,511
Areli Larkin,79,1,74,1,1,3,113
Arely Krajcik,37,1,62,3,1,3,313
Aretha Farrell,31,1,38,3,1,1,311
Aretha Grimes,66,2,120,2,4,4,244
Argie Champlin,25,2,142,4,4,5,445
Argie Schowalter DDS,24,1,42,4,1,2,412
Ari Haag,57,1,55,2,1,2,212
Ariana Adams,4,2,77,5,4,4,544
Ariana Leuschke,71,1,26,1,1,1,111
Ariana Swaniawski,69,1,67,1,1,3,113
Ariane Hansen,88,1,42,1,1,2,112
Ariane Littel,35,2,83,3,4,4,344
Aric Dibbert,81,1,28,1,1,1,111
Aric Kulas,6,2,135,5,4,5,545
Arie Bradtke,47,1,41,2,1,2,212
Arie Farrell,31,1,55,3,1,2,312
Arie Gaylord,1,1,45,5,1,2,512
Arie Koepp,12,1,54,4,1,2,412
Ariel Yundt,8,5,233,5,5,5,555
Ariella Emmerich PhD,36,1,53,3,1,2,312
Ariella Tillman,43,1,37,3,1,1,311
Arielle Barrows,10,2,78,5,4,4,544
Arielle Nienow,40,1,78,3,1,4,314
Arielle Schultz,2,9,591,5,5,5,555
Arizona Heller,57,1,28,2,1,1,211
Arizona Muller,14,7,386,4,5,5,455
Arizona Schiller DVM,14,1,54,4,1,2,412
Arjun Mosciski PhD,28,1,75,3,1,3,313
Arjun Mraz V,4,3,119,5,5,4,554
Arkie Spinka,74,1,47,1,1,2,112
Arla Renner,5,9,450,5,5,5,555
Arlan Lubowitz MD,61,1,68,2,1,3,213
Arleen Satterfield,40,2,76,3,4,4,344
Arlen Gulgowski I,63,1,34,2,1,1,211
Arlen Kovacek III,3,4,227,5,5,5,555
Arlena O'Keefe DDS,17,1,20,4,1,1,411
Arlene Rippin,23,2,113,4,4,4,444
Arlene Skiles,80,5,245,1,5,5,155
Arletta Bradtke,5,1,75,5,1,3,513
Arley McDermott V,7,1,54,5,1,2,512
Arlie Brekke IV,26,1,51,4,1,2,412
Arlie Gleichner,41,1,45,3,1,2,312
Arlie Kassulke,81,1,69,1,1,3,113
Arlie Watsica,74,1,20,1,1,1,111
Arline Jewess,89,1,52,1,1,2,112
Arlington Stanton,62,1,27,2,1,1,211
Arlis Senger,67,4,195,2,5,5,255
Arlis Weber,77,1,21,1,1,1,111
Arlo Bode,5,1,42,5,1,2,512
Arlo Grimes,60,1,47,2,1,2,212
Arlo Kautzer IV,59,1,32,2,1,1,211
Arlo Larkin DDS,68,1,80,1,1,4,114
Arlyn Dickinson,76,1,53,1,1,2,112
Arlyn Hilpert,83,1,52,1,1,2,112
Arlyne Krajcik,11,1,22,4,1,1,411
Arlyne Schroeder,32,2,78,3,4,4,344
Armando Mueller,57,1,46,2,1,2,212
Armando Rutherford,67,2,83,2,4,4,244
Armani Altenwerth DDS,1,1,63,5,1,3,513
Armani Bernhard,80,2,109,1,4,4,144
Armida Hessel,13,1,49,4,1,2,412
Armin Bartoletti,6,1,63,5,1,3,513
Armin Berge IV,72,1,59,1,1,3,113
Armin Renner IV,19,1,36,4,1,1,411
Arminda Swift,89,1,36,1,1,1,111
Arminta Howell,3,2,62,5,4,3,543
Arminta Reichert,24,1,74,4,1,3,413
Armond Mohr,12,2,144,4,4,5,445
Armond Moore,1,10,475,5,5,5,555
Arnav Stiedemann,73,1,60,1,1,3,113
Arne Nicolas,45,1,65,3,1,3,313
Arne Purdy I,62,2,93,2,4,4,244
Arne Will,49,2,119,2,4,4,244
Arnett Little PhD,11,6,358,4,5,5,455
Arnett Waters,27,3,122,3,5,4,354
Arnetta Bernier,4,1,64,5,1,3,513
Arnetta Kuphal,74,3,107,1,5,4,154
Arnie Dickinson,42,1,79,3,1,4,314
Arno Blick,81,1,37,1,1,1,111
Arno Dicki,46,2,88,2,4,4,244
Arnold Hansen,53,2,95,2,4,4,244
Arnoldo DuBuque,33,2,137,3,4,5,345
Arnoldo Haley,84,1,25,1,1,1,111
Arnoldo Quigley,55,1,44,2,1,2,212
Arnulfo Gleason,85,1,36,1,1,1,111
Arnulfo Gusikowski,90,1,50,1,1,2,112
Aron Block,68,1,46,1,1,2,112
Aron Leannon,73,1,59,1,1,3,113
Arrie Tillman,54,1,45,2,1,2,212
Arron Bergstrom,54,1,80,2,1,4,214
Arron Kirlin,37,1,51,3,1,2,312
Arron Wintheiser,7,3,161,5,5,5,555
Arsenio Barrows,47,1,66,2,1,3,213
Arsenio Herman MD,4,1,66,5,1,3,513
Arsenio Kling,12,2,96,4,4,4,444
Arsenio Rice,46,1,51,2,1,2,212
Arsenio Wolff,75,1,74,1,1,3,113
Art Feil,10,3,112,5,5,4,554
Art Hyatt III,44,1,35,3,1,1,311
Art Nienow,53,3,132,2,5,5,255
Arta Rogahn,72,1,58,1,1,2,112
Artelia Davis DDS,53,1,35,2,1,1,211
Arther O'Hara,89,1,51,1,1,2,112
Arthor Corwin,50,2,51,2,4,2,242
Artie Huels Jr.,47,1,30,2,1,1,211
Artis Walker,41,2,102,3,4,4,344
Arturo D'Amore,81,1,29,1,1,1,111
Arturo Rath,31,1,68,3,1,3,313
Arturo Rau,46,2,92,2,4,4,244
Arturo Wolf,6,2,50,5,4,2,542
Arvel Wehner,6,2,82,5,4,4,544
Arvid Olson,54,1,45,2,1,2,212
Arvil Goodwin,29,2,127,3,4,5,345
Arvilla Prosacco,6,2,88,5,4,4,544
Arvilla Rohan,27,1,57,3,1,2,312
Arvin Beatty,26,1,53,4,1,2,412
Aryan Bahringer,33,1,32,3,1,1,311
Aryan Hand,19,1,42,4,1,2,412
Aryan Wintheiser,4,1,75,5,1,3,513
Aryana King MD,43,1,75,3,1,3,313
Aryana Price,11,2,54,4,4,2,442
Asa Hayes DVM,4,1,57,5,1,2,512
Asa Jast,8,1,71,5,1,3,513
Asberry Graham II,15,3,125,4,5,5,455
Asbury Bradtke,90,1,57,1,1,2,112
Asbury Olson,65,2,118,2,4,4,244
Asha Ankunding,42,1,26,3,1,1,311
Ashby Beer,5,6,247,5,5,5,555
Ashby Fisher,5,2,135,5,4,5,545
Ashby Hudson V,5,2,54,5,4,2,542
Ashely Dibbert,81,2,148,1,4,5,145
Asher Kiehn,7,1,50,5,1,2,512
Asher Mosciski,60,1,58,2,1,2,212
Ashlee Collins,46,1,20,2,1,1,211
Ashlee Grant,3,3,117,5,5,4,554
Ashlee Morissette,59,1,67,2,1,3,213
Ashleigh Crist,89,1,60,1,1,3,113
Ashleigh Eichmann,25,4,134,4,5,5,455
Ashleigh Hudson,63,1,78,2,1,4,214
Ashleigh Lakin DVM,85,1,22,1,1,1,111
Ashley Feest PhD,22,1,37,4,1,1,411
Ashley Thiel,30,2,89,3,4,4,344
Ashli Glover DDS,45,1,58,3,1,2,312
Ashli Morissette,47,2,93,2,4,4,244
Ashly Larson,18,1,35,4,1,1,411
Ashton Orn,37,2,137,3,4,5,345
Ashton Trantow,12,5,295,4,5,5,455
Ashton Wintheiser,57,1,39,2,1,1,211
Ashtyn Rice,88,2,80,1,4,4,144
Asia Dickinson,27,1,46,3,1,2,312
Asia McLaughlin,5,12,564,5,5,5,555
Ason Williamson,75,2,99,1,4,4,144
Aspen Bode,13,3,131,4,5,5,455
Assunta Greenfelder,19,1,33,4,1,1,411
Astrid Hane,3,2,79,5,4,4,544
Atha Barrows,35,2,122,3,4,4,344
Atha Mayer,74,1,66,1,1,3,113
Atha Stamm I,0,3,122,5,5,4,554
Athena Gaylord,31,1,78,3,1,4,314
Atlas Haag,47,2,109,2,4,4,244
Atticus McClure,14,1,75,4,1,3,413
Attilio Deckow,79,1,20,1,1,1,111
Attilio Miller IV,52,3,108,2,5,4,254
Attilio Morissette,41,3,151,3,5,5,355
Attilio Nolan,2,1,32,5,1,1,511
Attilio Pfannerstill,55,1,69,2,1,3,213
Aubra Nienow V,52,1,75,2,1,3,213
Aubree Mosciski,73,1,27,1,1,1,111
Aubrey Runolfsson Jr.,69,1,50,1,1,2,112
Aubrey Witting,89,1,24,1,1,1,111
Aubrie Turner,13,2,87,4,4,4,444
Audie Reynolds,28,2,80,3,4,4,344
Audie Tillman,6,3,188,5,5,5,555
Audley Walker,5,3,176,5,5,5,555
Audriana Ernser DVM,64,1,31,2,1,1,211
Audriana Jakubowski,27,7,345,3,5,5,355
Audrianna Hegmann,63,1,62,2,1,3,213
Audrina Jacobi,5,1,36,5,1,1,511
Audrina Rosenbaum,21,2,104,4,4,4,444
Audrina White,4,1,56,5,1,2,512
Audry Bosco,89,1,42,1,1,2,112
Audry Koch,11,1,61,4,1,3,413
Audy Hammes PhD,46,1,34,2,1,1,211
Audy Schamberger,12,7,438,4,5,5,455
August Koelpin,47,1,43,2,1,2,212
Augusta Mohr,4,2,119,5,4,4,544
Augustina Bergstrom MD,5,3,200,5,5,5,555
Augustina Bruen DDS,27,6,381,3,5,5,355
Augustina Kuphal,12,3,133,4,5,5,455
Augustine Flatley,45,3,140,3,5,5,355
Augustus Franecki,66,1,49,2,1,2,212
Augustus Predovic,89,2,97,1,4,4,144
Aura Hickle,33,4,198,3,5,5,355
Aura Rosenbaum,68,1,48,1,1,2,112
Aurelia Huel,12,3,146,4,5,5,455
Aurelia Kuhn DVM,18,1,43,4,1,2,412
Aurelia Robel DVM,47,2,119,2,4,4,244
Aurelia Schowalter,40,1,77,3,1,4,314
Aurelio Hermiston,2,4,195,5,5,5,555
Aurilla Satterfield DDS,32,2,83,3,4,4,344
Aurora Block,44,1,44,3,1,2,312
Aurore Stracke,84,1,45,1,1,2,112
Aurthur Kirlin II,46,1,60,2,1,3,213
Austen Buckridge,30,1,38,3,1,1,311
Auston Walter,62,1,45,2,1,2,212
Austyn Jerde,68,1,28,1,1,1,111
Austyn Schuppe,38,1,46,3,1,2,312
Auther Haley,8,1,23,5,1,1,511
Auther Lind,1,1,50,5,1,2,512
Auther Rath,18,1,50,4,1,2,412
Auther Rippin,89,1,71,1,1,3,113
Authur Hagenes,12,2,70,4,4,3,443
Authur Kessler,29,1,41,3,1,2,312
Authur Nicolas PhD,34,1,43,3,1,2,312
Authur Turcotte,88,1,75,1,1,3,113
Ava Windler,51,1,33,2,1,1,211
Avah Oberbrunner,47,1,59,2,1,3,213
Avah Schneider,34,1,58,3,1,2,312
Averi Gerhold MD,89,1,66,1,1,3,113
Averie Streich,59,2,115,2,4,4,244
Avery Bartoletti,6,5,193,5,5,5,555
Avery Dare,4,9,434,5,5,5,555
Avery Rosenbaum,12,1,61,4,1,3,413
Avis Doyle DDS,52,1,30,2,1,1,211
Avis Kuhic,31,2,114,3,4,4,344
Avis Kulas,15,1,75,4,1,3,413
Axel Gleichner,16,2,102,4,4,4,444
Axel Jenkins,20,1,32,4,1,1,411
Ayaan Ebert,23,1,29,4,1,1,411
Ayaan Wiza,74,1,52,1,1,2,112
Ayanna Collins,28,1,76,3,1,4,314
Ayanna Gutkowski,4,1,28,5,1,1,511
Ayanna Johnston,73,1,24,1,1,1,111
Ayanna Kuhn,72,1,30,1,1,1,111
Ayanna Mayert,19,2,65,4,4,3,443
Ayden Champlin DDS,25,4,203,4,5,5,455
Ayden Grimes,4,4,177,5,5,5,555
Aydin Maggio DDS,23,2,104,4,4,4,444
Ayesha Carroll,73,2,158,1,4,5,145
Ayesha Connelly,26,1,36,4,1,1,411
Ayleen Zemlak,24,1,24,4,1,1,411
Aylin Cummings,5,3,154,5,5,5,555
Aylin Lowe,42,2,96,3,4,4,344
Azalee Cartwright,29,1,45,3,1,2,312
Azaria Grant,82,1,31,1,1,1,111
Azariah Lubowitz,7,1,26,5,1,1,511
Azul Wehner,12,2,146,4,4,5,445
Babe Haag,62,1,65,2,1,3,213
Babette Howell,28,3,103,3,5,4,354
Baby Nitzsche,47,2,62,2,4,3,243
Baby Spencer,11,1,27,4,1,1,411
Bailee Erdman DDS,37,1,64,3,1,3,313
Bailee Feil,17,1,38,4,1,1,411
Bailey Gleichner PhD,45,2,78,3,4,4,344
Baker Lebsack,18,2,72,4,4,3,443
Baker Medhurst,59,1,26,2,1,1,211
Baldwin Ebert II,68,1,22,1,1,1,111
Ballard Jast,11,2,76,4,4,4,444
Ballard Kirlin,40,1,29,3,1,1,311
Bambi Maggio,81,1,39,1,1,1,111
Banks Gorczany,36,4,238,3,5,5,355
Barb Weber DDS,31,1,44,3,1,2,312
Barbra Hilll,75,1,75,1,1,3,113
Barnard Gleichner,42,1,79,3,1,4,314
Barnett Reichel,11,3,153,4,5,5,455
Barney Brakus,12,1,63,4,1,3,413
Baron Wintheiser,82,1,27,1,1,1,111
Barrett Schuster Jr.,7,1,32,5,1,1,511
Barrett Turcotte DVM,52,1,57,2,1,2,212
Barrie Bayer DVM,46,2,51,2,4,2,242
Barrie Donnelly,39,1,29,3,1,1,311
Bartley Bayer,75,1,40,1,1,2,112
Bartley Collier,36,2,88,3,4,4,344
Barton Hartmann,66,1,68,2,1,3,213
Barton Ryan,45,1,31,3,1,1,311
Bascom Batz,27,1,74,3,1,3,313
Bascom Little,33,1,50,3,1,2,312
Bascom Prosacco,47,1,32,2,1,1,211
Baxter White,43,1,69,3,1,3,313
Bayard Johnston,47,2,105,2,4,4,244
Bayard VonRueden,18,3,149,4,5,5,455
Baylee Barton,49,2,87,2,4,4,244
Baylee Turner,5,7,351,5,5,5,555
Baylie Hauck,15,3,90,4,5,4,454
Bea Considine,10,2,127,5,4,5,545
Bea Hansen,17,1,76,4,1,4,414
Beadie Goodwin,38,1,40,3,1,2,312
Beatrice Jaskolski,41,1,78,3,1,4,314
Beatriz Barrows,21,1,31,4,1,1,411
Beatriz Beatty,33,1,63,3,1,3,313
Beaulah Keebler,60,1,74,2,1,3,213
Bebe Cruickshank DVM,1,1,56,5,1,2,512
Beckett Bahringer I,58,1,22,2,1,1,211
Beckett Hamill,46,1,21,2,1,1,211
Beckett Littel,78,3,136,1,5,5,155
Beckham Witting,31,3,177,3,5,5,355
Beckham Wyman,68,1,53,1,1,2,112
Beda Daugherty,59,1,44,2,1,2,212
Beda Lowe,72,2,105,1,4,4,144
Beda Paucek,22,1,37,4,1,1,411
Bedford Breitenberg,56,2,105,2,4,4,244
Bedford Little,52,1,36,2,1,1,211
Bedford Runte III,57,1,23,2,1,1,211
Bee Klein DDS,6,2,61,5,4,3,543
Bee West,45,4,231,3,5,5,355
Beecher Hilpert,5,4,221,5,5,5,555
Beecher Monahan,11,4,195,4,5,5,455
Beecher Volkman,89,1,48,1,1,2,112
Belia Moen,47,1,41,2,1,2,212
Bell Johns,6,3,115,5,5,4,554
Bell Romaguera,35,2,108,3,4,4,344
Bella Altenwerth,40,1,21,3,1,1,311
Bella Ebert DDS,81,1,47,1,1,2,112
Bella Stokes MD,27,1,78,3,1,4,314
Bella Thiel PhD,61,2,116,2,4,4,244
Belle Anderson DDS,18,1,33,4,1,1,411
Belle Brekke,47,1,25,2,1,1,211
Belle Grady,35,1,45,3,1,2,312
Belton Roob,32,1,66,3,1,3,313
Ben Heathcote,83,1,78,1,1,4,114
Bena Keeling,10,4,207,5,5,5,555
Benard Bayer,88,1,47,1,1,2,112
Benard Runte,50,1,45,2,1,2,212
Benard Tillman,17,1,75,4,1,3,413
Benard Wunsch I,88,1,73,1,1,3,113
Benedict Hamill,68,2,124,1,4,5,145
Benedict Kutch,64,1,78,2,1,4,214
Benito Quigley,57,1,50,2,1,2,212
Benjaman O'Hara,58,1,59,2,1,3,213
Benjamen Hoppe,39,1,53,3,1,2,312
Benjamin Barton,46,1,53,2,1,2,212
Benjamin Bode,53,1,62,2,1,3,213
Benjamin Hane Jr.,24,3,153,4,5,5,455
Benjamin Marks,43,1,35,3,1,1,311
Benjamin Runolfsson,16,1,59,4,1,3,413
Benjamine Bechtelar,4,2,103,5,4,4,544
Benjamine Jones,38,1,46,3,1,2,312
Benjamine Murazik,46,1,32,2,1,1,211
Benjamine Schroeder PhD,5,1,74,5,1,3,513
Benji Jacobson,39,2,98,3,4,4,344
Benjiman Beatty,73,1,58,1,1,2,112
Benjiman Stracke,60,4,199,2,5,5,255
Bennett Beatty,85,1,37,1,1,1,111
Bennett Gleason,68,2,83,1,4,4,144
Bennett Gleichner,3,7,390,5,5,5,555
Bennett Kemmer,29,6,303,3,5,5,355
Bennie Kerluke,11,1,78,4,1,4,414
Bennie Kunze,6,2,80,5,4,4,544
Bennie Romaguera,12,2,79,4,4,4,444
Bennie Sauer II,46,1,52,2,1,2,212
Bennie Weissnat,40,1,35,3,1,1,311
Benson Schulist,74,2,111,1,4,4,144
Bentley Shields,6,3,166,5,5,5,555
Benton O'Conner,14,1,80,4,1,4,414
Benton Spencer,82,2,105,1,4,4,144
Benton Stiedemann,60,2,110,2,4,4,244
Berdie Boehm,42,1,60,3,1,3,313
Berenice Jacobs,75,1,77,1,1,4,114
Berenice Kuhlman,60,2,106,2,4,4,244
Berenice Schneider,0,1,61,5,1,3,513
Berkley Ernser DDS,43,2,99,3,4,4,344
Berkley McKenzie DVM,2,1,26,5,1,1,511
Berlin Powlowski,31,3,151,3,5,5,355
Bernadine Gusikowski,9,1,44,5,1,2,512
Bernadine McGlynn,46,1,61,2,1,3,213
Bernadine Paucek,26,1,63,4,1,3,413
Bernard Bruen,44,1,23,3,1,1,311
Bernardine Kozey,9,2,100,5,4,4,544
Bernardo Berge,83,2,97,1,4,4,144
Bernardo Greenholt,81,1,67,1,1,3,113
Bernardo Johnston,14,2,123,4,4,4,444
Bernardo Koelpin,11,1,71,4,1,3,413
Bernardo Wilkinson,10,1,28,5,1,1,511
Berneice Jacobson,9,2,111,5,4,4,544
Bernetta Kerluke,2,1,53,5,1,2,512
Bernetta O'Conner,29,1,57,3,1,2,312
Bernhard Grimes,81,1,65,1,1,3,113
Bernhard Lind,66,1,32,2,1,1,211
Bernice Bahringer,4,1,66,5,1,3,513
Bernice Kihn,67,1,40,2,1,2,212
Bernice Klein,45,1,43,3,1,2,312
Bernie Moen DDS,6,3,76,5,5,4,554
Berniece Brekke DDS,46,2,103,2,4,4,244
Berniece Gibson,63,1,53,2,1,2,212
Berniece Kerluke DVM,31,1,75,3,1,3,313
Berniece Weber,47,2,147,2,4,5,245
Bernita Wolff,4,2,124,5,4,5,545
Berta Aufderhar,11,2,80,4,4,4,444
Berta Barrows,3,8,375,5,5,5,555
Berta Johnson,8,2,108,5,4,4,544
Berta Sauer DVM,35,1,47,3,1,2,312
Bertha Gutkowski,53,1,53,2,1,2,212
Bertie Conn,21,1,49,4,1,2,412
Bertie Gleichner,43,1,36,3,1,1,311
Bertie Stanton,39,2,94,3,4,4,344
Bertie Wunsch,27,1,57,3,1,2,312
Bertina Kovacek,70,2,114,1,4,4,144
Bertina Oberbrunner,3,1,68,5,1,3,513
Bertina Renner MD,37,2,85,3,4,4,344
Berton Boyer DVM,1,7,290,5,5,5,555
Berton Denesik II,13,5,259,4,5,5,455
Berton Franecki,35,1,52,3,1,2,312
Berton Hoeger,69,1,41,1,1,2,112
Berton Kuhlman,59,1,47,2,1,2,212
Bertram Quitzon II,4,6,305,5,5,5,555
Bertrand Sipes,6,1,68,5,1,3,513
Beryl Cummerata,9,1,77,5,1,4,514
Beryl McLaughlin,87,1,65,1,1,3,113
Beryl Pfannerstill,67,1,27,2,1,1,211
Beryl Waelchi,11,2,103,4,4,4,444
Bess Bogan,2,14,746,5,5,5,555
Bess Cruickshank,81,1,47,1,1,2,112
Bess Howell,66,1,78,2,1,4,214
Bess Walker,88,1,33,1,1,1,111
Bessie Kub,18,5,223,4,5,5,455
Bessie Schultz,5,2,95,5,4,4,544
Beth Klocko,1,1,30,5,1,1,511
Betha Predovic,13,1,58,4,1,2,412
Bethann Sporer,43,3,182,3,5,5,355
Bethany Flatley,47,2,45,2,4,2,242
Bethany Hane,10,2,117,5,4,4,544
Bethany Kovacek,80,1,76,1,1,4,114
Bethel Wunsch,33,1,59,3,1,3,313
Betsey O'Hara,30,2,122,3,4,4,344
Bettina Aufderhar,1,1,48,5,1,2,512
Bettina Hagenes,6,3,173,5,5,5,555
Bettye Schumm DDS,12,1,39,4,1,1,411
Bettyjane Schmitt,9,1,63,5,1,3,513
Bettyjane Stamm DVM,73,1,69,1,1,3,113
Bettyjane Stroman MD,17,1,27,4,1,1,411
Bettylou Balistreri DVM,12,2,111,4,4,4,444
Bettylou Cummerata,28,1,39,3,1,1,311
Bettylou Maggio DDS,51,1,44,2,1,2,212
Beula Kuphal,47,3,162,2,5,5,255
Beula VonRueden,39,1,32,3,1,1,311
Beulah Schmeler,12,2,144,4,4,5,445
Beverlee Johnston DDS,20,1,57,4,1,2,412
Beverlee Lindgren,87,1,36,1,1,1,111
Beverlee Schaden,42,1,68,3,1,3,313
Beverley Davis DVM,12,1,64,4,1,3,413
Beverley Kunze MD,40,1,30,3,1,1,311
Beverly Rogahn,68,1,47,1,1,2,112
Beyonce Gutmann,12,3,154,4,5,5,455
Beyonce Purdy,44,1,43,3,1,2,312
Bianca Donnelly MD,60,1,69,2,1,3,213
Bianca Wintheiser,86,1,77,1,1,4,114
Biddie Bergnaum,87,1,80,1,1,4,114
Biddie Buckridge,38,1,32,3,1,1,311
Biddie Fritsch DVM,66,1,53,2,1,2,212
Biddie Langosh,54,1,66,2,1,3,213
Biddie Leffler,77,1,45,1,1,2,112
Biddie Marvin,55,1,66,2,1,3,213
Biddie Pagac,19,1,46,4,1,2,412
Biddie Swift,3,1,39,5,1,1,511
Bilal Hahn,40,1,72,3,1,3,313
Bilal West,2,1,36,5,1,1,511
Bill Grant,6,1,73,5,1,3,513
Billie Bartoletti,35,1,46,3,1,2,312
Billie Corkery,8,4,182,5,5,5,555
Billie Hansen DVM,47,4,163,2,5,5,255
Billie O'Hara,90,1,70,1,1,3,113
Billie Parisian,5,4,227,5,5,5,555
Billie Schamberger,54,1,53,2,1,2,212
Billie Tromp DDS,3,1,74,5,1,3,513
Billy Dooley,24,1,59,4,1,3,413
Billy Hickle,6,1,46,5,1,2,512
Billy Okuneva,12,2,95,4,4,4,444
Billy Sauer,89,1,42,1,1,2,112
Billy Schmidt,80,1,78,1,1,4,114
Billy Wiegand,4,2,146,5,4,5,545
Billye Sauer,43,1,64,3,1,3,313
Bird Bayer PhD,40,4,233,3,5,5,355
Bird Harber,64,2,89,2,4,4,244
Bird Larkin,63,1,20,2,1,1,211
Birdella Cartwright,15,5,367,4,5,5,455
Birdie Kuphal DDS,6,1,35,5,1,1,511
Birt Ankunding,14,3,156,4,5,5,455
Birt White,27,1,63,3,1,3,313
Bjorn Konopelski,6,1,38,5,1,1,511
Bjorn Rosenbaum,5,14,742,5,5,5,555
Blain Lockman,81,1,52,1,1,2,112
Blain Mosciski,23,1,76,4,1,4,414
Blain Simonis,55,2,91,2,4,4,244
Blaine Corwin,21,1,27,4,1,1,411
Blaine Frami,45,2,61,3,4,3,343
Blaine Marquardt,42,1,65,3,1,3,313
Blair Champlin,47,1,66,2,1,3,213
Blair Cormier,41,3,147,3,5,5,355
Blair Erdman PhD,2,6,268,5,5,5,555
Blair Green,47,2,124,2,4,5,245
Blair Stiedemann,47,2,92,2,4,4,244
Blake Kovacek DVM,19,1,24,4,1,1,411
Blake Pfannerstill,43,1,31,3,1,1,311
Blake Rath,47,2,132,2,4,5,245
Blake VonRueden,32,1,35,3,1,1,311
Blake Welch,6,5,245,5,5,5,555
Blanca Bednar,21,1,37,4,1,1,411
Blanca Reichert,27,1,59,3,1,3,313
Blanch Bosco,54,1,66,2,1,3,213
Blanch Daniel,17,2,61,4,4,3,443
Blanchard McGlynn,65,1,76,2,1,4,214
Blanche Rath,20,1,25,4,1,1,411
Blane Dietrich,36,1,59,3,1,3,313
Blas Balistreri I,89,1,60,1,1,3,113
Blas Russel,18,1,39,4,1,1,411
Blas Towne,45,1,75,3,1,3,313
Blas Zulauf,5,3,127,5,5,5,555
Bluford Bernhard,34,1,73,3,1,3,313
Bluford DuBuque,49,1,52,2,1,2,212
Bluford Jewess DVM,47,1,26,2,1,1,211
Bo Zulauf,30,2,111,3,4,4,344
Bob Hirthe,3,3,155,5,5,5,555
Bob Reichert,15,1,37,4,1,1,411
Bob Shanahan,13,1,66,4,1,3,413
Bobbi Halvorson,85,1,32,1,1,1,111
Bobbi Marks DVM,81,2,83,1,4,4,144
Bobbie Greenholt,34,3,148,3,5,5,355
Bobbie Medhurst,47,1,78,2,1,4,214
Bobbie Sipes IV,30,1,25,3,1,1,311
Bobby Barrows,14,3,151,4,5,5,455
